URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/biliary-anastomosis-type-vs,0.1.0,draft,,BiliaryAnastomosisTypeVS,Type of surgical biliary anastomosis ValueSet,"Allowed types of biliary anastomosis in liver transplant.","StructureDefinition/transplant-biliary-anastomosis-type","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/biosample-tissue-type-vs,0.1.0,draft,,BioSampleTissueTypeVS,BioSample Tissue Type ValueSet,"Allowed tissue types for BioSample.tissue_type.","StructureDefinition/biosample,StructureDefinition/epigenome-study-sample-type","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/donor-liver-type-vs,0.1.0,draft,,DonorLiverTypeVS,Donor Liver Type ValueSet,"Allowed values for donor liver type (Complete, Partial).","StructureDefinition/donor-liver-type","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/donor-pre-ktx-dialysis-type-vs,0.1.0,draft,,DonorPreKtxDialysisTypeVS,Donor Pre-KTX Dialysis Type ValueSet,"Allowed dialysis types for donor prior to kidney transplant.","StructureDefinition/donor-pre-ktx-dialysis-type","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/immunosuppressive-maintenance-type-vs,0.1.0,draft,,ImmunosuppressiveMaintenanceTypeVS,Immunosuppressive Maintenance to Patient Type ValueSet,"Allowed types for immunosuppressive maintenance records.","StructureDefinition/immunosuppressive-maintenance-patient","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/intraoperative-complication-vs,0.1.0,draft,,IntraoperativeComplicationVS,Intraoperative Complications ValueSet,"Allowed intraoperative complications during liver transplantation.","StructureDefinition/transplant-intraoperative-complications","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/kidney-side-vs,0.1.0,draft,,KidneySideVS,Kidney Side ValueSet,"Allowed values for kidney side.","StructureDefinition/transplant-kidney-side","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/lab-result-unit-vs,0.1.0,draft,,LabResultUnitVS,Lab Result Unit ValueSet,"Allowed units of measurement for lab result values (unit column).","StructureDefinition/lab-result-observation","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/patient-abo-group-vs,0.1.0,draft,,PatientABOGroupVS,Patient ABO Group ValueSet,"ABO blood groups for transplant recipients.","StructureDefinition/donor-abo-group,StructureDefinition/patient-abo-group","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/patient-hla-class-i-vs,0.1.0,draft,,PatientHLAClassIVS,Patient HLA Class I Loci ValueSet,"Allowed Class I HLA loci (HLA-A, HLA-B, HLA-C).","StructureDefinition/patient-allograft-hla-class-i,StructureDefinition/donor-allograft-hla-class-i","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/patient-hla-class-ii-vs,0.1.0,draft,,PatientHLAClassIIVS,Patient HLA Class II Loci ValueSet,"Allowed Class II HLA loci (HLA-DR, HLA-DP, HLA-DQ).","StructureDefinition/patient-allograft-hla-class-ii,StructureDefinition/donor-allograft-hla-class-ii","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/patient-instrumental-investigation-result-vs,0.1.0,draft,,PatientInstrumentalInvestigationResultVS,Patient Instrumental Investigation Result ValueSet,"Allowed results for the instrumental investigation test (Normal, Abnormal).","StructureDefinition/patient-instrumental-investigation-result","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/patient-rh-factor-vs,0.1.0,draft,,PatientRhFactorVS,Patient Rh Factor ValueSet,"Allowed Rh factor values for transplant recipients.","StructureDefinition/donor-rh-factor,StructureDefinition/patient-rh-factor","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/pre-medication-antihypertensive-drug-vs,0.1.0,draft,,PreMedicationAntihypertensiveDrugVS,Pre-medication Antihypertensive Drug ValueSet,"Allowed antihypertensive drugs for antihypertensive_treatment.","StructureDefinition/pre-medication-antihypertensive-treatment","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/pre-medication-type-vs,0.1.0,draft,,PreMedicationTypeVS,Pre-medication Type ValueSet,"Allowed type(s) for pre-medication records.","StructureDefinition/pre-medication","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/reference-genome-build-vs,0.1.0,draft,,ReferenceGenomeBuildVS,Reference Genome Build ValueSet,"Allowed reference genome build names (GRCh38, GRCh37).","StructureDefinition/reference-genome","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/transplant-type-vs,0.1.0,draft,,TransplantTypeVS,Transplant Type ValueSet,"Allowed transplant types.","StructureDefinition/transplant","Internal"
http://example.org/fhir/ImplementationGuide/donor-ig/ValueSet/visit-type-vs,0.1.0,draft,,VisitTypeVS,Visit Type ValueSet,"Allowed types of visits in the transplant follow-up schedule.","StructureDefinition/visit","Internal"
http://example.org/fhir/ValueSet/concomitant-disease-category,0.1.0,draft,,ConcomitantDiseaseCategoryVS,Concomitant Disease Category ValueSet,"ValueSet of relevant concomitant diseases.","StructureDefinition/concomitant-disease-name","Internal"
http://example.org/fhir/ValueSet/concomitant-medication-category,0.1.0,draft,,ConcomitantMedicationCategoryVS,Concomitant Medication Category ValueSet,"ValueSet of concomitant medication categories.","StructureDefinition/concomitant-medication-code","Internal"
http://example.org/fhir/ValueSet/immunosuppressant-drug-type,0.1.0,draft,,ImmunosuppressantDrugTypeVS,Immunosuppressant Drug Type,"ValueSet of immunosuppressive drug types.","StructureDefinition/immunosuppressant-name","Internal"
http://example.org/fhir/ValueSet/immunosuppressive-induction-dose-unit,0.1.0,draft,,ImmunosuppressiveInductionDoseUnitVS,Immunosuppressant Induction Dose Unit,"ValueSet of units for immunosuppressant induction dose.","StructureDefinition/immunosuppressive-induction-dose-unit","Internal"
http://example.org/fhir/ValueSet/instrumental-investigation-name,0.1.0,draft,,InstrumentalInvestigationNameVS,Instrumental Investigation Name,"ValueSet of instrumental investigation tests conducted.","StructureDefinition/instrumental-investigation-name-ext","Internal"
http://example.org/fhir/ValueSet/lab-test-name,0.1.0,draft,,LabTestNameVS,Lab Test Name,"ValueSet of laboratory tests conducted.","StructureDefinition/lab-test-name-ext","Internal"
http://example.org/fhir/ValueSet/outcome-type-name,0.1.0,draft,,OutcomeTypeNameVS,Outcome Type Name,"ValueSet of post-transplant outcome types.","StructureDefinition/outcome-type-name-ext","Internal"
http://example.org/fhir/ValueSet/post-event-type-name,0.1.0,draft,,PostEventTypeNameVS,Post Event Type Name,"ValueSet of post-transplant event types.","StructureDefinition/post-event-type-name-ext","Internal"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/donor,StructureDefinition/patient-transplant","hl7.fhir.r4.core"
